2021-03-04 04:44:54.547 | INFO     | engine:on_end_batch:476 - Epoch: [13][0/1972]	Time 2.049 (2.049)	Data 1.452 (1.452)	Loss 0.0175 (0.0175)
2021-03-04 04:48:38.317 | INFO     | engine:on_end_batch:476 - Epoch: [13][500/1972]	Time 0.420 (0.451)	Data 0.001 (0.005)	Loss 0.0157 (0.0188)
2021-03-04 04:52:21.350 | INFO     | engine:on_end_batch:476 - Epoch: [13][1000/1972]	Time 0.568 (0.448)	Data 0.001 (0.004)	Loss 0.0162 (0.0187)
2021-03-04 04:56:05.943 | INFO     | engine:on_end_batch:476 - Epoch: [13][1500/1972]	Time 0.425 (0.449)	Data 0.001 (0.004)	Loss 0.0184 (0.0186)
2021-03-04 04:59:39.394 | INFO     | engine:on_end_batch:476 - Epoch: [14][0/1972]	Time 2.117 (2.117)	Data 1.528 (1.528)	Loss 0.0180 (0.0180)
2021-03-04 05:03:20.361 | INFO     | engine:on_end_batch:476 - Epoch: [14][500/1972]	Time 0.424 (0.445)	Data 0.002 (0.005)	Loss 0.0208 (0.0185)
2021-03-04 05:07:01.944 | INFO     | engine:on_end_batch:476 - Epoch: [14][1000/1972]	Time 0.469 (0.444)	Data 0.002 (0.004)	Loss 0.0202 (0.0185)
2021-03-04 05:10:43.381 | INFO     | engine:on_end_batch:476 - Epoch: [14][1500/1972]	Time 0.454 (0.444)	Data 0.001 (0.004)	Loss 0.0168 (0.0185)
2021-03-04 05:14:15.552 | INFO     | engine:on_end_batch:476 - Epoch: [15][0/1972]	Time 2.089 (2.089)	Data 1.415 (1.415)	Loss 0.0179 (0.0179)
2021-03-04 05:17:58.031 | INFO     | engine:on_end_batch:476 - Epoch: [15][500/1972]	Time 0.437 (0.448)	Data 0.001 (0.005)	Loss 0.0165 (0.0184)
2021-03-04 05:21:40.754 | INFO     | engine:on_end_batch:476 - Epoch: [15][1000/1972]	Time 0.429 (0.447)	Data 0.002 (0.004)	Loss 0.0180 (0.0184)
2021-03-04 05:25:23.565 | INFO     | engine:on_end_batch:476 - Epoch: [15][1500/1972]	Time 0.431 (0.446)	Data 0.002 (0.004)	Loss 0.0194 (0.0183)
2021-03-04 05:28:55.198 | INFO     | engine:on_end_batch:476 - Epoch: [16][0/1972]	Time 2.080 (2.080)	Data 1.508 (1.508)	Loss 0.0134 (0.0134)
2021-03-04 05:32:37.304 | INFO     | engine:on_end_batch:476 - Epoch: [16][500/1972]	Time 0.450 (0.447)	Data 0.002 (0.005)	Loss 0.0186 (0.0182)
2021-03-04 05:36:21.413 | INFO     | engine:on_end_batch:476 - Epoch: [16][1000/1972]	Time 0.431 (0.448)	Data 0.001 (0.004)	Loss 0.0212 (0.0182)
2021-03-04 05:40:04.885 | INFO     | engine:on_end_batch:476 - Epoch: [16][1500/1972]	Time 0.455 (0.447)	Data 0.001 (0.004)	Loss 0.0177 (0.0182)
2021-03-04 05:43:37.943 | INFO     | engine:on_end_batch:476 - Epoch: [17][0/1972]	Time 2.191 (2.191)	Data 1.542 (1.542)	Loss 0.0184 (0.0184)
2021-03-04 05:47:20.008 | INFO     | engine:on_end_batch:476 - Epoch: [17][500/1972]	Time 0.454 (0.448)	Data 0.002 (0.005)	Loss 0.0238 (0.0182)
2021-03-04 05:51:03.931 | INFO     | engine:on_end_batch:476 - Epoch: [17][1000/1972]	Time 0.430 (0.448)	Data 0.002 (0.004)	Loss 0.0178 (0.0181)
2021-03-04 05:54:48.128 | INFO     | engine:on_end_batch:476 - Epoch: [17][1500/1972]	Time 0.452 (0.448)	Data 0.001 (0.004)	Loss 0.0207 (0.0181)
2021-03-04 05:58:22.054 | INFO     | engine:on_end_batch:476 - Epoch: [18][0/1972]	Time 2.094 (2.094)	Data 1.515 (1.515)	Loss 0.0179 (0.0179)
2021-03-04 06:02:04.534 | INFO     | engine:on_end_batch:476 - Epoch: [18][500/1972]	Time 0.451 (0.448)	Data 0.001 (0.005)	Loss 0.0167 (0.0178)
2021-03-04 06:05:46.165 | INFO     | engine:on_end_batch:476 - Epoch: [18][1000/1972]	Time 0.529 (0.446)	Data 0.001 (0.004)	Loss 0.0181 (0.0178)
2021-03-04 06:09:28.222 | INFO     | engine:on_end_batch:476 - Epoch: [18][1500/1972]	Time 0.424 (0.445)	Data 0.001 (0.004)	Loss 0.0163 (0.0178)
2021-03-04 06:12:59.901 | INFO     | engine:on_end_batch:476 - Epoch: [19][0/1972]	Time 2.135 (2.135)	Data 1.474 (1.474)	Loss 0.0168 (0.0168)
2021-03-04 06:16:41.418 | INFO     | engine:on_end_batch:476 - Epoch: [19][500/1972]	Time 0.429 (0.446)	Data 0.002 (0.005)	Loss 0.0131 (0.0177)
2021-03-04 06:20:26.377 | INFO     | engine:on_end_batch:476 - Epoch: [19][1000/1972]	Time 0.426 (0.448)	Data 0.001 (0.004)	Loss 0.0192 (0.0178)
2021-03-04 06:24:12.406 | INFO     | engine:on_end_batch:476 - Epoch: [19][1500/1972]	Time 0.469 (0.449)	Data 0.002 (0.004)	Loss 0.0190 (0.0178)
2021-03-04 10:05:27.036 | INFO     | engine:on_end_batch:476 - Epoch: [20][0/1972]	Time 10.754 (10.754)	Data 1.600 (1.600)	Loss 0.0197 (0.0197)
2021-03-04 10:08:56.476 | INFO     | engine:on_end_batch:476 - Epoch: [20][500/1972]	Time 0.406 (0.439)	Data 0.001 (0.005)	Loss 0.0149 (0.0176)
2021-03-04 10:12:26.672 | INFO     | engine:on_end_batch:476 - Epoch: [20][1000/1972]	Time 0.406 (0.430)	Data 0.001 (0.004)	Loss 0.0188 (0.0177)
2021-03-04 10:15:57.185 | INFO     | engine:on_end_batch:476 - Epoch: [20][1500/1972]	Time 0.398 (0.427)	Data 0.001 (0.003)	Loss 0.0148 (0.0177)
2021-03-04 10:19:19.675 | INFO     | engine:on_end_batch:476 - Epoch: [21][0/1972]	Time 2.203 (2.203)	Data 1.547 (1.547)	Loss 0.0171 (0.0171)
2021-03-04 10:22:49.685 | INFO     | engine:on_end_batch:476 - Epoch: [21][500/1972]	Time 0.406 (0.424)	Data 0.001 (0.006)	Loss 0.0156 (0.0177)
2021-03-04 10:26:14.680 | INFO     | engine:on_end_batch:476 - Epoch: [21][1000/1972]	Time 0.382 (0.417)	Data 0.001 (0.004)	Loss 0.0174 (0.0176)
2021-03-04 10:29:39.647 | INFO     | engine:on_end_batch:476 - Epoch: [21][1500/1972]	Time 0.446 (0.414)	Data 0.002 (0.004)	Loss 0.0150 (0.0175)
2021-03-04 10:32:55.094 | INFO     | engine:on_end_batch:476 - Epoch: [22][0/1972]	Time 2.003 (2.003)	Data 1.512 (1.512)	Loss 0.0206 (0.0206)
2021-03-04 10:36:18.839 | INFO     | engine:on_end_batch:476 - Epoch: [22][500/1972]	Time 0.391 (0.411)	Data 0.001 (0.005)	Loss 0.0208 (0.0173)
2021-03-04 10:39:43.813 | INFO     | engine:on_end_batch:476 - Epoch: [22][1000/1972]	Time 0.424 (0.410)	Data 0.001 (0.004)	Loss 0.0210 (0.0174)
2021-03-04 10:43:07.983 | INFO     | engine:on_end_batch:476 - Epoch: [22][1500/1972]	Time 0.420 (0.410)	Data 0.001 (0.004)	Loss 0.0161 (0.0174)
2021-03-04 10:46:23.175 | INFO     | engine:on_end_batch:476 - Epoch: [23][0/1972]	Time 2.317 (2.317)	Data 1.816 (1.816)	Loss 0.0135 (0.0135)
